NOMGARE;PAYS;VILLEDESSERVIE;X;Y;TGV
Aubiet;France;Aubiet;43,65014958;0,78919791; 
Aubigné-Racan;France;Aubigne-Racan;47,68668805;0,26653755; 
Aubigny-au-Bac;France;Aubigny-au-Bac;50,26876824;3,15863115; 
Aubigny-en-Artois;France;Aubigny-en-Artois;50,35306707;2,59284773; 
Aubin;France;Aubin;44,52784962;2,23816276; 
Aubin-Saint-Vaast;France;Aubin-Saint-Vaast;50,40351628;1,94617822; 
Auboué;France;Auboue;49,21628851;5,97145465; 
Aubrives;France;Aubrives;50,10366224;4,76089304; 
Aubusson;France;Aubusson;45,96093349;2,16047958; 
Aucamville;France;Aucamville;43,66368142;1,41394332; 
Auch;France;Auch;43,64763597;0,59653811;
Auchy-lès-Hesdin;France;Auchy-les-Hesdin;50,39243889;2,08933517; 
Audrieu;France;Audrieu;49,21609296;-0,59647228; 
Audruicq;France;Audruicq;50,87533915;2,07734782; 
Audun-le-Roman;France;Audun-le-Roman;49,36643379;5,89181692; 
Auffay;France;Auffay;49,71598679;1,09819738; 
Augy;France;Augy Vaux;47,76631994;3,611006; 
Aulnay-sous-Bois;France;Aulnay-sous-Bois;48,93211651;2,49422346; 
Aulnoye Aymeries;France;Aulnoye Aymeries;50,19721269;3,84375332;
Aumale;France;Aumale;49,76474933;1,75612866; 
Aumont-Aubrac;France;Aumont-Aubrac;44,71813975;3,28341528; 
Auneau;France;Auneau;48,44541278;1,77971775; 
Auray;France;Auray;47,68018937;-2,99999862;OUI
Aurec-sur-Loire;France;Aurec-sur-Loire;45,37122932;4,19833476; 
Aureilhan;France;Aureilhan;43,2434217;0,09579825; 
Aurillac;France;Aurillac;44,92068042;2,43554606;
Auterive;France;Auterive;43,348835;1,46862436; 
Autevielle-Saint-Martin-Bideren;France;Autevielle-Saint-Martin-Bideren;43,40021472;-0,97772626; 
Autun;France;Autun;46,9552549;4,29297021; 
Auvers-sur-Oise;France;Auvers-sur-Oise;49,07091482;2,17649957; 
Auxerre;France;Auxerre;47,79760144;3,58544681;
Auxonne;France;Auxonne;47,19222151;5,37762466; 
Auzances;France;Auzances;46,02856893;2,49184931; 
Avallon;France;Avallon;47,4957913;3,91269686; 
Avenay-Val-d'Or;France;Avenay-Val-d'Or;49,06453598;4,04328175; 
Avesnelles;France;Avesnelles;50,11979221;3,94601434; 
Avesnes-sur-Helpe;France;Avesnes-sur-Helpe;50,12653397;3,93373027; 
Avezac-Prat-Lahitte;France;Avezac-Prat-Lahitte;43,08221279;0,36148503; 
Avignon Centre;France;Avignon;43,9411607;4,80631411;OUI
Avignon TGV (à 6 km);France;Avignon TGV;43,9218302;4,7860989;OUI
Avignonet-Lauragais;France;Avignonet-Lauragais;43,36382363;1,78802591; 
Avion;France;Avion;50,40648455;2,83333241; 
Avord;France;Avord;47,03484236;2,6523671; 
Avoudrey;France;Avoudrey;47,12983645;6,43460891; 
Avranches;France;Avranches;48,69040896;-1,369974; 
Avrechy;France;Avrechy;49,4450195;2,41798461; 
Avrée;France;Avree;46,82405119;3,87915417; 
Ax-les-Thermes;France;Ax-les-Thermes;42,72496009;1,83374002; 
Ay;France;Ay;49,04879162;4,00164432; 
Ayzac-Ost;France;Ayzac-Ost;43,02209546;-0,09753545; 
Azay-le-Rideau;France;Azay-le-Rideau;47,26700413;0,44790983; 
Azay-sur-Cher;France;Azay-sur-Cher;47,36518761;0,8594594; 
Azerailles;France;Azerailles;48,49098778;6,6967258; 
Baccarat;France;Baccarat;48,45227798;6,74406453; 
Bagnac-sur-Célé;France;Bagnac-sur-Cele;44,66515498;2,16074286; 
Bagneaux-sur-Loing;France;Bagneaux-sur-Loing;48,23052268;2,7033588; 
Bagnères-de-Bigorre;France;Bagneres-de-Bigorre;43,06934124;0,14855225; 
Bagnols-les-Bains;France;Bagnols-les-Bains;44,52831462;3,62814211; 
Baillargues;France;Baillargues;43,65311738;4,00668925; 
Bailleau-le-Pin;France;Bailleau-le-Pin;48,36675531;1,32472178; 
Bailleul;France;Bailleul;50,72899745;2,73406102; 
Bailleul-Sir-Berthoult;France;Bailleul-Sir-Berthoult;50,33475694;2,84095311; 
Bains-les-Bains;France;Bains-les-Bains;47,98121457;6,29518364; 
Bainville-sur-Madon;France;Bainville-sur-Madon;48,58603658;6,09960558; 
Baisieux;France;Baisieux;50,61860233;3,23521662; 
Baladou;France;Baladou;44,92085243;1,55589385; 
Balagny-sur-Thérain;France;Balagny-sur-Therain;49,29316529;2,34534502; 
Balbigny;France;Balbigny;45,81795678;4,18736514; 
Ballancourt-sur-Essonne;France;Ballancourt-sur-Essonne;48,53233443;2,37136408; 
Ballan-Miré;France;Ballan-Mire;47,33675809;0,61808019; 
Ballersdorf;France;Ballersdorf;47,61986276;7,15515229; 
Balsièges;France;Balsieges;44,48227378;3,45685765; 
Banassac;France;Banassac;44,44764172;3,19621014; 
Bandol;France;Bandol;43,14036566;5,74995072;
Bannalec;France;Bannalec;47,92650747;-3,70672765; 
Banyuls sur Mer;France;Banyuls sur Mer;42,48261944;3,12441085; 
Bar sur Aube;France;Bar sur Aube ;48,23854994;4,70683803; 
Baraqueville;France;Baraqueville;44,27038226;2,42750594; 
Barcelonne-du-Gers;France;Barcelonne-du-Gers;43,70360343;-0,23719077; 
Barèges;France;Bareges;42,89675551;0,06467172; 
Barentin;France;Barentin;49,55012384;0,95332578; 
Barenton-Bugny;France;Barenton-Bugny;49,63067681;3,65559354; 
